# kind	name	status	loader	ABI	positive test	unsupported path
command	glBlitFramebuffer	common	src/driver/opengl.ab render-target resolve	src/driver/opengl.ab typed extern signature	tests/application/main.ab exact multisample resolve	tests/application/main.ab incompatible resolve rejection
command	glClearBufferfv	common	src/driver/opengl.ab render-target clear	src/driver/opengl.ab typed extern signature	tests/application/main.ab exact MRT clear	tests/application/main.ab attachment bounds rejection
command	glCopyImageSubData	common	src/driver/opengl.ab texture copy	src/driver/opengl.ab typed extern signature	tests/application/main.ab exact texture copy	tests/application/main.ab incompatible copy rejection
command	glDrawBuffers	common	src/driver/opengl.ab MRT setup	src/driver/opengl.ab typed extern signature	tests/application/main.ab exact dual attachment output	tests/application/main.ab attachment count rejection
command	glFramebufferTexture2D	common	src/driver/opengl.ab target setup	src/driver/opengl.ab typed extern signature	tests/application/main.ab render-to-texture output	tests/application/main.ab incompatible attachment rejection
command	glGenerateTextureMipmap	common	src/driver/opengl.ab mip generation	src/driver/opengl.ab typed extern signature	tests/application/main.ab exact first and final mip	tests/application/main.ab invalid mip generation rejection
command	glGetTextureSubImage	common	src/driver/opengl.ab texture readback	src/driver/opengl.ab typed extern signature	tests/application/main.ab exact texture readback	tests/application/main.ab readback range rejection
command	glInvalidateFramebuffer	common	src/driver/opengl.ab discard store operation	src/driver/opengl.ab typed extern signature	tests/application/main.ab discard attachment pass	tests/application/main.ab attachment bounds rejection
command	glReadBuffer	common	src/driver/opengl.ab MRT resolve selection	src/driver/opengl.ab typed extern signature	tests/application/main.ab exact second attachment resolve	tests/application/main.ab attachment bounds rejection
command	glTexImage2DMultisample	common	src/driver/opengl.ab multisample allocation	src/driver/opengl.ab typed extern signature	tests/application/main.ab four-sample render target	tests/application/main.ab sample count rejection
